time,imu,xaxis,yaxis,zaxis,xaccel,yaccel,zaccel
1167,2,-8.40,-1.96,-2.42,-0.94,0.39,-0.52
1183,3,-9.57,-1.47,-0.80,0.08,-0.12,-0.83
1199,4,-6.78,-7.26,-1.37,-0.22,0.37,-0.11
1214,5,-8.79,2.08,-3.13,-0.24,-0.20,-0.37
1231,0,28.08,-22.45,-4.50,-1.78,-1.11,1.58
1246,1,-4.93,8.13,4.05,0.02,0.49,-1.05
1262,2,-11.07,-11.30,2.15,-0.41,0.66,0.94
1278,3,-12.33,1.47,0.05,0.10,0.19,-1.62
1294,4,-14.70,-7.47,7.72,-0.11,-0.39,0.58
1309,5,-9.26,7.20,-2.70,-0.62,-0.24,0.44
1326,0,-5.16,-7.20,9.54,0.06,0.84,1.27
1341,1,-5.87,10.38,4.39,-0.15,1.92,-4.37
1358,2,-6.38,3.51,-4.98,-0.69,0.36,1.13
1373,3,-14.71,-2.62,-2.37,0.15,0.74,-2.31
1389,4,-6.03,-1.62,-6.88,-1.83,-0.28,0.73
1405,5,-11.25,-0.96,-4.89,0.10,-0.62,1.84
1421,0,-5.98,-6.81,7.54,-0.08,0.08,0.05
1436,1,-3.97,20.52,5.86,-0.21,1.53,-4.12
1453,2,-8.59,2.86,-3.09,0.29,0.43,0.69
1468,3,-4.98,-6.68,-0.55,0.42,0.59,-0.70
1485,4,-8.44,1.05,-2.80,-0.25,-0.07,0.83
1500,5,-10.81,0.29,-3.23,-0.52,-0.32,1.51
1516,0,-4.25,-7.24,5.73,-0.20,-0.09,0.04
1532,1,4.23,6.03,2.31,0.04,-1.37,1.80
1547,2,-9.10,-0.56,-1.79,-0.48,0.24,0.46
1563,3,-3.33,-5.54,-0.03,-0.78,-0.50,2.30
1579,4,-8.43,-3.54,-1.49,-0.47,-0.05,0.55
1595,5,-7.14,-2.17,-2.15,-1.39,0.28,1.06
1610,0,-4.47,-7.18,5.72,-0.12,-0.02,0.04
1627,1,-5.71,9.88,4.47,0.19,-1.58,4.33
1642,2,-9.22,1.32,-2.42,-0.07,0.03,0.64
1659,3,-7.43,-4.84,-1.56,-0.64,-0.54,4.02
1674,4,-9.34,-2.01,-0.94,0.00,-0.04,0.65
1689,5,-7.22,1.04,-2.01,-0.51,0.01,0.58
1706,0,-4.47,-7.15,5.68,-0.13,-0.06,0.02
1721,1,-13.21,13.83,4.66,0.49,-1.77,3.92
1737,2,-9.18,1.60,-2.12,-0.18,0.10,0.55
1753,3,-10.15,-1.36,-0.16,0.50,-0.18,4.37
1769,4,-9.41,-2.00,-1.14,0.39,0.23,0.78
1785,5,-5.97,5.08,-3.28,0.34,0.50,0.07
1801,0,-4.48,-7.17,5.85,-0.12,-0.05,0.01
1816,1,-15.70,7.78,5.28,0.46,-1.45,2.76
1833,2,-9.56,0.94,-2.38,-0.13,0.02,0.65
1848,3,-9.88,1.80,0.67,0.12,0.40,2.15
1863,4,-9.43,-1.87,-1.17,-0.08,0.18,0.76
1880,5,-8.89,7.05,-0.79,-0.69,0.18,0.04
1895,0,-4.34,-7.25,5.62,-0.23,0.09,0.14
1912,1,-16.74,-0.66,0.87,-0.06,-0.24,-0.58
1927,2,-9.99,0.23,-2.39,-0.19,0.00,1.10
1943,3,-8.96,-2.86,-0.80,-0.65,0.04,-1.79
1959,4,-9.41,-3.15,-1.78,-0.44,-0.11,0.38
1975,5,-6.48,1.09,-3.16,-0.26,0.81,-0.36
1990,0,-4.41,-8.09,6.47,-0.58,0.95,0.84
2006,1,-9.41,3.68,12.89,-0.88,1.96,-2.34
2022,2,-11.71,0.10,-0.94,-0.39,0.02,1.65
2037,3,-11.50,-2.86,-5.83,-1.08,0.64,-1.53
2054,4,-9.48,-5.50,-1.86,0.27,-0.39,-0.38
2069,5,-9.42,-6.03,-1.58,-0.12,-0.17,-0.29
2086,0,-7.65,-10.55,5.79,-0.56,2.36,3.94
2101,1,-5.42,8.72,4.53,-1.10,0.47,-0.80
2117,2,-12.37,-0.95,0.28,-0.83,-0.06,2.49
2133,3,-10.45,2.73,-1.07,0.19,0.78,-1.11
2149,4,-9.95,-1.03,-1.85,-0.85,-0.92,-2.00
2164,5,-10.25,3.65,-3.56,-0.47,0.03,-0.81
2181,0,-18.55,-11.71,6.67,-0.39,3.03,4.37
2196,1,-4.33,7.26,4.42,-0.01,-0.16,-0.14
2213,2,-7.46,7.40,-2.97,-0.50,-0.11,1.81
2228,3,-9.07,-1.64,-2.48,-0.28,-0.06,-0.91
2244,4,-11.52,-4.50,-0.18,0.00,-0.18,-1.80
2260,5,-8.40,0.78,-4.61,0.33,0.14,-0.86
2276,0,5.45,-7.67,4.76,0.28,-2.54,-1.91
2291,1,-4.06,7.67,4.25,0.06,-0.21,-0.08
2307,2,-2.27,4.48,-2.19,-0.00,-0.33,-1.67
2323,3,-9.42,-0.69,-0.55,0.22,0.08,-0.59
2339,4,-9.15,-0.45,0.41,1.20,0.17,-1.12
2355,5,-10.99,2.05,-4.89,0.03,-0.30,-0.79
2370,0,-1.69,-8.98,3.41,0.03,-3.02,-3.55
2387,1,-4.28,7.48,4.04,0.02,0.01,-0.08
2402,2,-5.21,4.27,-0.48,0.30,-0.55,-3.96
2418,3,-9.56,-0.82,-1.68,0.49,0.08,-0.60
2434,4,-6.18,1.15,-1.45,-0.07,0.25,-0.64
2449,5,-8.46,2.19,-4.22,0.35,-0.27,-0.63
2466,0,-11.09,-14.41,6.63,-0.61,-1.57,-4.37
2481,1,-4.26,7.58,3.85,-0.00,-0.12,-0.11
2497,2,-10.40,4.34,-3.91,-0.05,-0.53,-4.37
2513,3,-9.47,-0.36,-1.14,-0.10,0.04,-0.88
2529,4,-7.80,-5.50,0.42,-0.64,-0.30,-0.02
2544,5,-8.46,1.54,-4.20,-0.49,-0.05,-0.61
2561,0,-15.38,-4.13,6.32,-1.79,-2.24,-2.86
2576,1,-4.43,7.61,3.69,-0.05,-0.09,-0.18
2592,2,-10.84,-1.08,-3.01,-1.50,0.18,-3.02
2608,3,-9.34,-1.24,-1.28,0.09,0.04,-1.09
2624,4,-7.35,-10.42,-0.14,-0.15,0.59,-0.43
2640,5,-8.80,0.74,-3.47,-0.08,0.08,-0.52
2656,0,-15.48,1.26,1.57,-0.73,-0.19,0.21
2671,1,-3.27,7.27,4.38,0.10,0.20,-0.35
2688,2,-8.85,3.16,-1.51,0.09,0.27,1.35
2703,3,-10.30,-0.93,-0.32,0.25,0.11,-1.51
2719,4,-6.05,-1.15,0.04,-0.06,0.25,0.26
2735,5,-8.89,4.43,-3.52,0.34,-0.22,-0.17
2750,0,-5.19,-9.14,9.46,0.82,4.37,1.40
2767,1,-3.49,10.66,4.91,0.90,1.02,-2.24
2782,2,-14.89,3.45,-1.33,4.37,-0.30,1.69
2798,3,-19.49,4.75,1.99,1.75,0.75,-2.78
2814,4,-12.66,-2.82,0.38,1.56,1.07,-0.07
2830,5,-13.02,3.01,0.14,0.86,-1.02,1.94
2845,0,-4.71,-5.60,8.51,1.12,0.11,0.35
2862,1,-18.64,15.56,6.47,1.47,3.67,-4.37
2877,2,-10.32,5.03,-3.05,-1.99,0.02,0.99
2894,3,-5.95,-9.67,-3.80,1.52,0.09,-1.64
2909,4,-14.13,-6.29,-1.06,0.02,0.48,0.85
2925,5,-11.32,2.48,-2.70,0.57,-0.27,1.66
2941,0,-4.37,-7.25,5.87,-0.21,-0.09,-0.00
2957,1,5.72,15.25,4.09,-0.50,-2.40,1.31
2972,2,-9.69,2.43,-3.17,-0.89,0.11,0.49
2989,3,-3.04,-4.72,-1.36,-0.06,0.01,1.91
3004,4,-9.91,-6.29,-0.35,-0.11,-0.83,1.30
3021,5,-8.88,0.59,-2.01,-1.12,0.17,1.16
3036,0,-4.13,-7.35,5.72,-0.18,0.10,0.09
3051,1,-2.37,10.46,2.35,-0.09,-1.78,4.37
3068,2,-9.56,-0.08,-2.51,-0.56,0.05,0.68
3083,3,-5.91,-3.70,0.24,-1.55,-0.51,3.88
3099,4,-9.51,-3.17,-2.84,-0.59,-0.92,0.69
3115,5,-5.38,-1.49,-1.73,-0.92,1.07,0.86
3131,0,-4.18,-7.16,5.75,-0.14,-0.08,0.05
3146,1,-11.42,13.25,6.68,-0.00,-1.79,3.91
3163,2,-9.19,1.89,-1.93,-0.13,0.13,0.71
3178,3,-9.66,-5.85,-1.02,1.96,-0.76,4.37
3195,4,-8.68,-2.44,-0.82,0.42,0.49,0.99
3210,5,-5.44,2.22,-1.66,0.41,0.02,0.09
3225,0,-4.65,-7.19,5.91,-0.14,-0.08,0.03
3242,1,-17.30,6.61,4.99,1.45,-2.25,3.50
3257,2,-9.68,-0.16,-2.19,-0.33,-0.01,0.93
3273,3,-9.74,0.71,-1.00,1.57,0.44,2.77
3289,4,-8.64,-3.39,-1.53,0.05,0.04,0.86
3305,5,-8.44,11.63,-1.99,-0.29,-0.01,0.14
3321,0,-3.68,-7.38,5.73,-0.29,0.30,0.20
3337,1,-20.03,-0.26,-2.49,0.09,-0.20,-1.19
3352,2,-10.29,0.34,-2.65,-0.31,-0.06,1.64
3369,3,-7.80,-3.31,-0.63,-1.46,-0.18,-2.48
3384,4,-9.28,-3.68,-1.67,-0.81,-0.19,0.13
3400,5,-11.78,-1.29,-4.42,0.11,0.66,-0.94
3416,0,-4.38,-9.23,5.37,-0.69,1.68,1.94
3432,1,-22.46,14.44,23.92,-2.10,2.17,-2.99
3448,2,-15.76,-2.02,0.61,-1.62,-0.02,2.50
3464,3,-14.47,-3.88,1.30,-0.12,-0.25,-2.03
3479,4,-11.15,-2.93,2.29,-0.38,0.10,-1.75
3496,5,-5.76,-11.46,-7.01,0.31,0.03,-0.34
3511,0,-14.15,-13.15,7.95,-1.07,3.35,4.37
3527,1,-3.28,8.85,1.92,-0.55,0.32,-0.25
3543,2,-9.63,7.70,-4.89,-1.59,0.46,2.12
3559,3,-11.45,-1.03,3.23,-0.18,-0.06,-1.04
3575,4,-13.91,-3.31,-0.48,0.56,-2.15,-1.38
3591,5,-9.31,0.68,-3.30,-0.33,0.12,-0.97
3606,0,6.39,-10.34,4.30,-1.61,0.68,1.07
3623,1,-4.16,7.69,3.92,0.19,-0.01,-0.04
3638,2,0.53,6.67,-2.40,0.51,-0.22,0.20
3653,3,-9.65,-2.81,-1.91,1.06,0.13,-0.60
3670,4,-9.28,-0.71,0.14,0.64,0.45,-1.49
3685,5,-10.54,3.41,-3.20,1.18,-0.10,-0.76
3701,0,1.09,-6.47,3.73,-0.23,-3.09,-2.55
3717,1,-3.70,7.77,3.81,0.06,-0.11,-0.10
3733,2,-2.27,4.32,-1.13,-0.02,-0.59,-2.82
3749,3,-9.24,0.53,-1.33,0.27,0.09,-0.64
3765,4,-8.61,-0.84,-0.06,1.10,0.12,-0.86
3780,5,-8.05,2.48,-4.34,0.29,-0.42,-0.73
3796,0,-4.91,-10.57,4.02,-0.24,-2.22,-4.37
3812,1,-4.20,7.54,4.20,-0.02,0.03,-0.14
3827,2,-7.11,3.87,-1.42,1.75,-0.32,-4.37
3844,3,-9.39,0.08,-1.32,0.10,0.06,-0.85
3859,4,-7.38,-0.02,0.94,-0.19,1.18,-0.22
3876,5,-8.25,1.82,-4.01,-0.08,0.07,-0.67
3891,0,-16.97,-14.60,10.11,-1.34,-1.65,-4.37
3907,1,-4.33,7.54,3.99,0.02,-0.19,-0.15
3923,2,-11.43,0.94,-3.79,-1.20,0.28,-4.37
3939,3,-9.29,-0.28,-1.20,-0.03,0.08,-1.06
3954,4,-7.67,-7.88,-2.36,-0.99,0.33,0.07
3971,5,-8.29,1.81,-3.95,-0.46,0.11,-0.70
3986,0,-17.71,1.26,3.38,-1.64,-1.92,-1.75
4003,1,-4.13,7.47,4.25,0.03,0.01,-0.22
4018,2,-8.80,-3.21,-1.38,-0.81,0.38,-0.35
4033,3,-10.23,-0.10,-0.47,-0.02,0.05,-1.59
4050,4,-6.69,-7.76,-1.92,0.30,0.96,-0.40
4065,5,-9.00,2.57,-2.21,0.15,-0.20,-0.13
4081,0,3.34,4.60,5.85,2.86,2.01,2.21
4097,1,-3.96,10.56,5.38,0.67,0.91,-1.50
4113,2,-15.24,-11.38,9.47,3.18,-0.53,1.25
4128,3,-17.41,2.33,0.39,1.05,0.69,-2.58
4145,4,-10.22,-17.00,-13.80,0.01,1.53,-0.18
4160,5,-12.57,4.18,-1.63,0.05,-1.01,1.27
4177,0,-10.68,-14.46,-1.08,2.09,-0.06,0.83
4192,1,-14.20,11.97,8.07,1.10,3.44,-4.37
4208,2,-8.31,4.11,-5.38,-1.33,0.84,1.30
4224,3,-9.48,-7.53,-3.91,2.22,0.54,-1.79
4240,4,-15.34,-5.50,-0.32,-1.63,2.72,0.86
4255,5,-11.48,1.07,-2.82,0.73,-0.51,1.65
4272,0,-4.11,-6.89,6.25,-0.06,0.13,0.04
4287,1,3.50,16.76,13.84,0.01,-0.85,-0.51
4304,2,-9.54,5.62,-5.25,-0.22,0.31,0.65
4319,3,0.04,-4.75,-0.74,-1.57,0.01,0.54
4335,4,-8.22,1.82,-2.48,-0.49,-0.59,0.96
4351,5,-9.19,-0.24,-3.24,-1.08,-0.06,1.32
4367,0,-4.18,-7.01,6.03,-0.27,-0.04,0.07
4382,1,-0.13,9.09,1.90,-0.53,-2.06,3.85
4399,2,-9.12,-1.65,-3.43,-0.47,0.22,0.57
4414,3,-3.87,-4.56,0.49,-0.90,-0.91,3.43
4430,4,-5.54,-5.06,-1.51,0.04,0.18,0.83
4446,5,-9.42,-4.78,-3.70,-0.05,0.75,1.13
4461,0,-4.47,-7.30,5.64,-0.10,-0.04,0.06
4478,1,-8.21,12.48,3.73,-0.39,-1.58,4.37
4493,2,-8.73,1.60,-2.29,-0.20,-0.02,0.66
4509,3,-8.56,-6.18,-3.65,-0.67,-0.92,4.37
4525,4,-8.75,-1.65,-0.63,0.14,-0.56,1.04
4541,5,-6.57,-0.22,-2.02,0.53,0.37,0.26
4557,0,-4.58,-7.03,5.71,-0.18,-0.06,0.02
4573,1,-17.03,10.83,5.01,0.97,-2.95,4.37
4588,2,-9.62,-0.51,-2.37,-0.21,0.06,0.70
4605,3,-12.30,-1.17,-2.74,2.09,0.48,4.19
4620,4,-10.14,-2.96,-2.51,-0.05,-0.04,1.05
4636,5,-7.99,11.52,-4.93,0.26,-0.11,-0.06
4652,0,-4.36,-7.13,5.80,-0.20,-0.01,0.06
4667,1,-23.16,-11.35,-1.35,1.34,-1.25,-0.33
4684,2,-9.99,-0.63,-2.62,-0.08,-0.02,1.51
4699,3,-9.37,-0.27,0.95,-0.95,-0.60,-2.07
4715,4,-9.96,-3.19,-0.72,-0.52,-0.19,0.23
4731,5,-5.12,2.08,-2.99,-0.98,0.75,-0.11
4747,0,-4.18,-8.80,7.06,-0.55,1.18,0.97
4762,1,-10.30,-1.61,9.28,-1.37,3.87,-3.04
4779,2,-12.65,-1.28,-1.83,-0.35,0.12,2.10
4794,3,-11.21,-5.72,-6.42,-2.46,0.48,-2.15
4810,4,-9.82,-7.72,-0.91,0.23,-0.02,-0.81
4826,5,-8.48,-12.81,3.38,-1.60,-0.38,-0.24
4842,0,-9.55,-11.53,9.21,-0.41,2.46,4.37
4858,1,-5.64,7.98,8.92,-1.21,0.79,-0.78
4874,2,-12.33,3.96,-3.34,-0.31,0.49,2.56
4889,3,-12.74,-1.31,0.78,1.29,0.20,-0.98
4906,4,-11.75,-1.07,-1.62,-0.69,-1.45,-1.94
4921,5,-10.37,-0.35,-3.32,-0.50,0.30,-1.05
4937,0,-11.13,-15.08,7.66,0.32,2.52,4.37
4953,1,-4.11,7.66,4.14,0.11,-0.14,-0.08
4969,2,-5.17,3.85,-0.74,0.04,-0.12,1.21
4985,3,-9.45,-1.18,-3.46,0.32,-0.04,-0.65
5001,4,-11.86,-2.01,0.09,0.33,-0.23,-1.72
5016,5,-9.02,0.93,-4.59,0.41,0.40,-1.17
5033,0,2.04,-6.46,3.70,0.72,-2.30,-2.02
5048,1,-3.99,7.48,4.34,0.05,-0.24,-0.09
5063,2,-2.12,4.68,-1.59,0.86,-0.48,-2.03
5080,3,-9.28,0.11,-1.41,0.32,-0.17,-0.67
5095,4,-8.67,-0.41,0.16,1.32,0.58,-1.00
5112,5,-7.91,2.22,-4.18,0.35,-0.42,-0.76
5127,0,-2.66,-7.90,3.29,0.28,-2.65,-4.31
5143,1,-4.11,7.57,4.06,0.03,0.01,-0.15
5159,2,-5.54,4.63,-0.96,1.23,-0.56,-3.99
5175,3,-9.38,0.86,-1.17,0.13,0.08,-0.84
5190,4,-7.65,0.23,-0.62,-0.17,0.37,-0.62
5206,5,-7.86,2.27,-3.69,0.32,0.58,-0.56
5222,0,-11.08,-11.66,7.06,-0.67,-2.02,-4.19
5237,1,-4.36,7.59,3.77,0.02,-0.15,-0.17
5254,2,-10.59,5.02,-3.42,-1.64,-0.80,-4.37
5269,3,-9.41,-1.29,-1.09,-0.07,0.05,-1.15
5286,4,-6.82,-5.97,-0.16,-0.66,0.76,-0.22
5301,5,-8.77,0.91,-3.97,-0.32,0.09,-0.61
5317,0,-14.36,-11.93,20.41,-2.35,-1.62,-1.88
5333,1,-4.27,7.37,4.11,0.08,-0.03,-0.22
5349,2,-10.65,-1.22,-2.26,-1.88,0.77,-2.88
5364,3,-9.89,-1.10,-1.17,-0.00,0.06,-1.39
5381,4,-6.63,-10.01,-1.20,-0.30,0.61,-0.02
5396,5,-8.73,2.77,-3.39,-0.10,-0.05,-0.46
5413,0,-33.50,-4.87,34.37,2.19,4.37,1.45
5428,1,-4.32,8.18,4.05,0.60,0.68,-1.09
5444,2,-11.75,-2.80,-0.22,1.26,0.58,1.87
5460,3,-13.57,1.13,-0.63,0.63,0.67,-2.37
5476,4,-17.07,-3.02,-0.24,0.01,-0.36,1.03
5491,5,-11.60,6.08,-2.87,0.48,-0.74,0.82
5508,0,-12.24,-6.00,20.43,0.37,1.52,2.60
5523,1,-6.23,9.96,5.32,0.49,3.55,-4.37
5540,2,-8.89,6.05,-6.06,0.27,0.89,1.94
5555,3,-12.21,-2.54,-2.18,1.30,0.50,-1.87
5570,4,-5.38,7.38,-8.91,-2.10,-0.76,0.20
5587,5,-13.12,0.02,-5.06,-0.34,-0.58,1.61
5602,0,-3.86,-6.41,6.49,-0.04,-0.05,0.11
5618,1,-7.25,18.91,6.21,1.85,2.86,-3.62
5634,2,-8.75,-1.78,1.55,0.88,0.11,0.98
5650,3,-4.72,-6.11,2.60,0.05,-0.21,-0.45
5666,4,-9.31,-2.84,-1.85,0.70,0.17,1.22
5682,5,-9.73,-2.02,-3.05,-0.88,-0.32,1.53
5697,0,-4.33,-7.27,5.54,-0.30,-0.19,0.02
5714,1,2.26,6.96,1.44,-0.65,-3.21,2.81
5729,2,-9.28,-1.35,-0.66,-0.86,0.17,0.42
5744,3,-3.65,-6.30,-0.59,0.16,-0.61,2.94
5761,4,-8.97,-3.69,-1.70,-1.24,-1.16,0.81
5776,5,-6.58,-2.64,-3.28,-0.85,-0.55,1.23
5792,0,-4.43,-7.28,5.75,-0.09,-0.11,0.06
5808,1,-5.22,11.07,2.63,0.23,-1.72,4.37
5824,2,-9.42,-0.77,-2.34,-0.18,-0.11,0.67
5840,3,-5.61,-2.80,-0.71,-1.76,-0.56,4.37
5856,4,-9.70,-1.52,-2.25,-0.25,-1.07,0.96
5871,5,-6.32,0.11,-1.29,-0.44,0.64,0.08
5888,0,-4.47,-7.18,5.64,-0.09,-0.07,0.05
5903,1,-16.71,17.16,7.82,0.84,-1.99,4.37
5919,2,-9.65,1.34,-2.39,-0.21,-0.01,0.76
5935,3,-11.18,1.85,-1.47,0.67,-0.16,4.37
5951,4,-8.62,-3.06,-1.33,0.38,0.53,1.14
5967,5,-8.44,8.66,-2.96,0.03,-0.41,-0.46
5982,0,-4.49,-7.08,5.78,-0.09,-0.11,0.04
5998,1,-27.81,-12.37,-2.52,0.20,-1.54,1.54
6014,2,-9.56,-1.57,-2.51,-0.09,0.09,1.34
6030,3,-10.07,2.63,-2.33,0.02,-0.24,-0.80
6045,4,-8.86,-3.36,-2.44,-0.03,0.26,0.40
6062,5,-6.43,3.86,-3.72,-0.03,0.48,0.75
6077,0,-4.46,-8.09,5.95,-0.04,0.74,0.54
6094,1,6.30,9.21,-10.26,-0.57,2.74,-3.25
6109,2,-13.52,-0.25,-1.73,-0.77,0.14,2.10
6125,3,-11.56,-2.94,-2.36,-4.37,0.18,-1.65
6141,4,-8.88,-8.33,-1.18,-0.09,0.24,-0.46
6157,5,-11.77,0.34,-2.75,-1.03,0.30,-0.18
6172,0,-5.11,-10.91,6.23,-0.49,2.35,4.37
6189,1,-7.29,11.52,3.20,-1.01,0.48,-0.66
6204,2,-14.96,0.04,-0.87,-1.47,-0.00,2.64
6221,3,-10.32,-6.21,-2.78,1.81,0.88,-0.99
6236,4,-11.92,0.43,-2.68,-0.45,-1.23,-2.18
6252,5,-11.09,0.31,-4.77,-0.13,-0.16,-1.12
6268,0,-14.66,-16.44,7.85,0.87,2.70,4.37
6284,1,-4.22,7.60,4.00,0.04,-0.01,-0.11
6299,2,-5.11,7.24,-2.02,-1.43,0.04,1.15
6316,3,-9.54,-2.57,-3.65,-0.00,0.05,-0.71
6331,4,-11.52,-4.44,0.72,-0.18,0.03,-1.89
6348,5,-8.69,0.20,-4.69,0.75,0.51,-0.99
6363,0,4.86,-7.12,3.08,0.19,-2.00,-2.00
6378,1,-4.15,7.47,4.20,0.06,-0.19,-0.08
6395,2,-1.32,4.40,-1.94,1.17,0.07,-2.02
6410,3,-9.27,1.94,-1.70,0.42,0.01,-0.59
6426,4,-8.71,0.15,0.86,1.91,1.50,-1.15
6442,5,-6.56,2.16,-3.50,0.39,0.08,-0.71
6458,0,-3.30,-8.50,5.27,-0.07,-2.03,-4.37
6473,1,-4.20,7.61,4.07,-0.01,0.02,-0.12
6490,2,-4.96,4.40,-0.74,0.85,-0.74,-4.20
6505,3,-9.26,0.60,-1.14,-0.01,0.09,-0.82
6521,4,-6.73,1.01,-1.28,-0.40,0.46,-0.62
6537,5,-7.70,1.36,-4.09,-0.01,0.02,-0.67
6552,0,-11.99,-12.52,8.42,-0.94,-2.56,-4.32
6569,1,-4.33,7.59,3.85,0.01,-0.08,-0.15
6584,2,-10.20,7.02,-4.55,-2.21,-0.64,-4.37
6600,3,-9.46,-1.55,-0.82,0.01,0.02,-1.07
6616,4,-4.09,-6.23,1.42,0.40,1.73,0.33
6632,5,-8.74,1.44,-3.79,-0.53,0.16,-0.70
6648,0,-16.39,-4.67,5.00,-2.48,-3.11,-2.48
6664,1,-4.28,7.41,4.02,0.06,-0.04,-0.20
6679,2,-11.93,-2.95,-2.43,-1.07,0.83,-2.57
6696,3,-9.75,-0.49,-1.10,-0.09,0.03,-1.36
6711,4,-8.04,-13.80,-1.47,-0.18,0.01,-0.29
6727,5,-8.51,3.10,-3.54,-0.10,-0.02,-0.44
6743,0,-18.17,1.19,3.03,-0.14,0.73,0.92
